Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion parcours Management et Sciences Humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion parcours Management et Sciences Humaines (MSH);5;0;1;2;1;0;0;0;25;50;25;0;0;5;38
Institut national universitaire Champollion;Licence - Portail Lettres;;5;0;0;0;1;0;0;0;0;0;100;0;0;3;54
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Japonais et Gestion parcours  Management et sciences humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Japonais et Gestion parcours  Management et sciences humaines (MSH);5;0;0;1;1;3;0;0;0;20;20;60;0;5;169
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Chinois et Gestion parcours Management et sciences humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Chinois et Gestion parcours Management et sciences humaines (MSH);5;0;0;0;2;1;0;0;0;0;67;33;0;5;94
Lycée Edouard Belin;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - Parcours Ingénieur Microtechniques et Systèmes Intelligents;Parcours Ingénieur Microtechniques et Systèmes Intelligents;5;0;0;2;3;2;0;0;0;29;43;29;0;7;66
Université Savoie Mont Blanc - Bourget-du-Lac;Licence - Portail Géographie et aménagement;;5;0;0;2;0;0;0;0;0;100;0;0;0;4;53
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion parcours Techniques Quantitatives et Management (TQM);Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion parcours Techniques Quantitatives et Management (TQM);5;0;3;0;0;1;0;0;75;0;0;25;0;5;55
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Coréen et Gestion parcours  Management et sciences humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Coréen et Gestion parcours  Management et sciences humaines (MSH);5;0;0;0;2;1;0;0;0;0;67;33;0;5;217
3iL;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;5;0;0;0;1;0;0;0;0;0;100;0;0;1;77
UniLaSalle Rouen;Formation d'ingénieur Bac + 5 - Autres Séries (Bac STL, STI2D, STAV, PSC0, bacs internationaux);Autres Séries (Bac STL, STI2D, STAV, PSC0, bacs internationaux);5;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Arabe et Gestion parcours Management et sciences humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Arabe et Gestion parcours Management et sciences humaines (MSH);5;0;2;0;2;0;0;0;50;0;50;0;0;5;89
Lycée St Joseph - LaSalle Lorient;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - parcours Marine Nationale / Maistrance-défense;parcours Marine Nationale / Maistrance-défense;5;0;2;1;0;0;0;0;67;33;0;0;0;3;27
Le Mans Université;Licence - Portail Langues, littératures & civilisations étrangères et régionales - LLCER allemand (parcours études européennes inclus);LLCER allemand (parcours études européennes inclus);5;0;1;0;0;0;0;0;100;0;0;0;0;2;38
ISEN Méditerranée;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;5;0;1;0;1;1;0;0;33;0;33;33;0;3;36
Université Savoie Mont Blanc - Bourget-du-Lac;Licence - Portail Informatique - Informatique (tronc commun en L1 avec Mathématiques et Sciences pour l?ingénieur);Informatique (tronc commun en L1 avec Mathématiques et Sciences pour l?ingénieur);5;0;3;0;0;0;0;0;100;0;0;0;0;5;58
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Russe et Gestion parcours Techniques quantitatives et management (TQM);Double Licence Langues Etrangères Appliquées Anglais-Russe et Gestion parcours Techniques quantitatives et management (TQM);5;0;0;0;0;1;0;0;0;0;0;100;0;4;81
Lycée Notre Dame Des Minimes;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;187
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Arabe et Gestion parcours Techniques quantitatives et management (TQM);Double Licence Langues Etrangères Appliquées Anglais-Arabe et Gestion parcours Techniques quantitatives et management (TQM);5;0;0;1;1;0;0;0;0;50;50;0;0;4;125
YNCREA - BÈGLES;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;5;0;0;2;0;0;0;0;0;100;0;0;0;2;76
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Polonais et Gestion parcours Techniques quantitatives et management (TQM);Double Licence Langues Etrangères Appliquées Anglais-Polonais et Gestion parcours Techniques quantitatives et management (TQM);5;0;1;0;0;0;0;0;100;0;0;0;0;1;83
ISEN Lille;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;10;192
ESIEA Laval;Formation d'ingénieur Bac + 5 - Bacs généraux - 1 Science;Bacs généraux - 1 Science;5;0;0;1;0;0;0;0;0;100;0;0;0;1;49
ESAIP Angers;Formation d'ingénieur Bac + 5 - Bacs généraux - 1 Science;Bacs généraux - 1 Science;5;0;0;1;1;0;0;0;0;50;50;0;0;2;48
Centre de Ressources, d'Expertise et de Performance Sportive du Centre (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;;5;0;1;0;0;0;0;0;100;0;0;0;0;2;33
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Japonais et Gestion parcours Techniques quantitatives et management (TQM);Double Licence Langues Etrangères Appliquées Anglais-Japonais et Gestion parcours Techniques quantitatives et management (TQM);5;0;0;0;1;1;0;0;0;0;50;50;0;5;107
Université de Poitiers;Licence - Langues étrangères appliquées - Parcours Espagnol, Allemand. Espagnol non débutant et Allemand débutant ou non débutant;Espagnol, Allemand. Espagnol non débutant et Allemand débutant ou non débutant;5;0;0;0;0;0;0;0;0;0;0;0;0;2;37
Centre de Ressources, d-Expertise et de Performance Sportive d-Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS);DEJEPS - Spécialité Perfectionnement sportif - MentionVélo tout terrain;;5;0;1;0;0;0;0;0;100;0;0;0;0;3;64
AgroSup Dijon Direction Enseignement à Distance (CNPR);BTS - Agricole - Viticulture-Oenologie - Entièrement en distanciel;;5;0;1;1;1;0;0;0;33;33;33;0;0;5;55
IPSO FORMATIONS - Campus GRENOBLE;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;Option : Cours collectifs;5;0;0;0;0;0;0;0;0;0;0;0;0;0;53
Université Sorbonne Nouvelle Paris 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Portugais - Mineure Didactique du français langue étrangère;Portugais - Mineure Didactique du français langue étrangère;5;0;1;0;0;0;0;0;100;0;0;0;0;5;47
UNIVERS SPORT FORMATION LYON;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme - Option : Haltérophilie musculation;Option : Haltérophilie musculation;5;0;0;0;0;0;0;0;0;0;0;0;0;0;62
Université de Caen Normandie;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Etudes Franco-Allemandes : langue, culture et numérique;Etudes Franco-Allemandes : langue, culture et numérique;5;0;0;0;0;0;0;0;0;0;0;0;0;1;24
IPSO FORMATIONS - Campus GRENOBLE;BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;19
Université Paris-Dauphine;Formation valant grade de licence - Mathématique - Informatique - Paris - Talents;Mathématique - Informatique - Paris - Talents;5;0;0;0;1;4;1;0;0;0;17;67;17;6;161
Université de Poitiers;Licence - Langues étrangères appliquées - Parcours Espagnol, Russe. Espagnol non débutant et Russe débutant;Espagnol, Russe. Espagnol non débutant et Russe débutant;5;0;1;2;0;0;0;0;33;67;0;0;0;5;40
Université Lyon 2 - Campus Porte des Alpes;Licence - Langues étrangères appliquées;LEA Anglais Portugais ? Administration économique et sociale;5;0;1;2;0;0;0;0;33;67;0;0;0;5;59
Université Lyon 2 - Campus Porte des Alpes;Licence - Langues, littératures & civilisations étrangères et régionales;LLCER Allemand ? LLCER Scandinave;5;0;0;0;0;0;0;0;0;0;0;0;0;1;30
Université Lyon 2 - Campus Porte des Alpes;Licence - Lettres;Lettres classiques ? Sciences du langage;5;0;0;0;0;0;0;0;0;0;0;0;0;5;214
Université Lyon 2 - Campus Porte des Alpes;Licence - Arts du spectacle;Lettres classiques;5;0;3;0;0;0;0;0;100;0;0;0;0;6;397
Facultés libres de l'Ouest - UCO ANGERS;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Anglais;Anglais;5;0;2;2;1;0;0;0;40;40;20;0;0;5;56
Université Lyon 2 - Campus Porte des Alpes;Licence - Langues, littératures & civilisations étrangères et régionales;LLCER Anglais ? LLCER Scandinave;5;0;1;1;0;1;0;0;33;33;0;33;0;5;140
ISEN Lille;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;183
CPBx (ESTIA);Formation d'ingénieur Bac + 5 - bac général;bac général;5;0;0;1;0;1;0;0;0;50;0;50;0;2;69
EFREI Paris;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;6;238
ISEL Le Havre;Formation d'ingénieur Bac + 5 - bac STI2D;bac STI2D;5;0;0;2;1;0;0;0;0;67;33;0;0;4;58
Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Judo-Jujitsu;;5;0;0;1;0;0;0;0;0;100;0;0;0;2;37
Université de Paris;Certificat de capacité d'Orthoptiste - A distance depuis le site de Nevers - Entièrement en distanciel;A distance depuis le site de Nevers;5;0;1;1;0;0;0;0;50;50;0;0;0;5;53
IRTS POITOU CHARENTES;D.E Educateur Technique Spécialisé;;5;0;0;2;0;0;0;0;0;100;0;0;0;4;12
Université de Poitiers;Licence - Langues étrangères appliquées - Parcours Espagnol, Italien. Non débutants;Espagnol, Italien. Non débutants;5;0;1;0;1;0;0;0;50;0;50;0;0;3;23
Lycée Charles et Adrien Dupuy;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;;5;0;1;1;1;0;0;0;33;33;33;0;0;5;160
Centre de Ressources, d'Expertise et de Performance Sportive de Toulouse (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;;5;0;2;1;0;0;0;0;67;33;0;0;0;5;474
ISEN Méditerranée;Formation d'ingénieur Bac + 5 - Bacs généraux - 1 Science;Bacs généraux - 1 Science;5;0;0;1;0;0;0;0;0;100;0;0;0;1;29
Sciences Po Bordeaux - Institut d'études politiques;Sciences Po / Instituts d'études politiques - Sciences Humaines et Sociales - Grade Master - Filière intégrée France-Hong-Kong (FIFHKG);Filière intégrée France-Hong-Kong (FIFHKG);5;0;0;0;0;4;1;0;0;0;0;80;20;5;127
Université de Bourgogne - site de Dijon;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Métiers des langues - Anglais;Métiers des langues - Anglais;5;0;2;1;0;0;0;0;67;33;0;0;0;5;167
AgroSup Dijon Direction Enseignement à Distance (CNPR);BTS - Agricole - productions animales - Entièrement en distanciel;;5;0;2;0;0;0;0;0;100;0;0;0;0;4;56
AgroSup Dijon Direction Enseignement à Distance (CNPR);BTS - Agricole - Gestion forestière - Entièrement en distanciel;;5;0;0;1;0;0;0;0;0;100;0;0;0;3;78
AgroSup Dijon Direction Enseignement à Distance (CNPR);BTS - Agricole - Agronomie : Productions végétales - Entièrement en distanciel;;5;0;0;1;1;0;0;0;0;50;50;0;0;3;65
Université Sorbonne Nouvelle Paris 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Portugais - Mineure Etudes internationales;Portugais - Mineure Etudes internationales;5;0;2;2;0;0;0;0;50;50;0;0;0;5;27
Université Angers;Licence - Portail Langues étrangères appliquées - Anglais-Espagnol;Anglais-Espagnol;5;0;0;2;1;0;1;0;0;50;25;0;25;5;170
ESAA Boulle;DN MADE - Objet - Spécialité : Menuiserie en siège - Créateur-concepteur ? mobilier et décor d?exception;Spécialité : Menuiserie en siège - Créateur-concepteur ? mobilier et décor d?exception;5;0;0;2;0;1;0;0;0;67;0;33;0;5;73
YNCREA - BÈGLES;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;165
CPBx (ENSPIMA);Formation d'ingénieur Bac + 5 - bac général;bac général;5;0;0;0;2;1;0;0;0;0;67;33;0;5;158
ECAM Strasbourg-Europe;Formation d'ingénieur Bac + 5 - Autres Séries;Bac STL;5;0;0;0;0;0;0;0;0;0;0;0;0;1;25
Sup'Biotech Paris;Formation d'ingénieur Bac + 5 - Bac STL;Bac STL;5;0;0;0;4;2;0;0;0;0;67;33;0;6;29
Université de Toulon - Antenne de Draguignan;Licence - Portail Droit - Licence de Droit - Campus Draguignan;Licence de Droit - Campus Draguignan;5;0;0;1;1;0;0;0;0;50;50;0;0;3;173
EIGSI La Rochelle;Formation d'ingénieur Bac + 5 - Bac Série STI2D;bac STI2D;5;0;0;1;3;1;0;0;0;20;60;20;0;5;159
Sciences Po - campus du Havre - Institut d'études politiques;Sciences Po / Instituts d'études politiques - Sciences Humaines et Sociales - Grade Licence - Double diplôme Sciences Po (Europe-Asia programme);Double diplôme Sciences Po (Europe-Asia programme);5;0;0;0;0;3;3;0;0;0;0;50;50;6;98
Université de Tours;Licence - Musicologie - Parcours Parcours Diplôme National Supérieur de Musicien (DNSPM);Parcours Diplôme National Supérieur de Musicien (DNSPM);5;0;0;1;0;0;0;0;0;100;0;0;0;1;50
Université Angers;Licence - Portail Géographie et aménagement;;5;0;1;2;0;0;0;0;33;67;0;0;0;6;74
IRTS PACA CORSE;D.E Educateur Technique Spécialisé;;5;0;2;0;0;0;0;0;100;0;0;0;0;2;19
Université Grenoble Alpes - Antenne de Valence;Licence - Portail Informatique - Informatique, Mathématiques et Applications (IMA);Informatique, Mathématiques et Applications (IMA);5;0;1;0;0;0;0;0;100;0;0;0;0;3;68
Lycée Vauvenargues;BTS - Production - Systèmes numériques - Option électronique et communication - - parcours partenariat lycée militaire;#NAME?;5;0;1;3;0;0;0;0;25;75;0;0;0;5;166
Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Aix-en-Provence (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;;5;0;0;1;0;0;0;0;0;100;0;0;0;3;286
Université Lumière - Lyon 2;Licence - Administration économique et sociale;Administration économique et sociale - LEA Anglais Chinois;5;0;2;1;0;0;0;0;67;33;0;0;0;6;105
APRADIS - Site Amiens;D.E Educateur Technique Spécialisé;;5;0;3;0;0;0;0;0;100;0;0;0;0;5;18
INSTITUT CATHOLIQUE LILLE;Licence - Portail Pluridisciplinaire - Projet personnel;Projet personnel;5;0;0;2;1;0;0;0;0;67;33;0;0;4;89
IPSO FORMATIONS - Campus LYON;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;Option : Cours collectifs;5;0;0;0;0;0;0;0;0;0;0;0;0;0;91
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Polonais et Gestion  Management et sciences humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Polonais et Gestion  Management et sciences humaines (MSH);5;0;3;0;0;0;0;0;100;0;0;0;0;3;132
ESAIP Angers;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;2;155
Université de Bretagne Sud - Site de Lorient;Licence - Portail Langues étrangères appliquées - LEA Anglais-Allemand;LEA Anglais-Allemand;5;0;0;0;0;1;0;0;0;0;0;100;0;1;33
Ecole supérieure d'Agriculture - St Quentin;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;5;0;0;0;0;0;0;0;0;0;0;0;0;0;33
Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;;5;0;2;2;0;0;0;0;50;50;0;0;0;4;446
3iL;Formation d'ingénieur Bac + 5 - Bacs généraux - 1 Science;Bacs généraux - 1 Science;5;0;0;0;0;0;0;0;0;0;0;0;0;0;43
CREPS de Dijon - Antenne de Besançon;BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;;5;0;0;0;0;0;0;0;0;0;0;0;0;2;37
ISEN Lille;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;5;0;0;2;1;4;0;0;0;29;14;57;0;7;97
EFREI Paris;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;7;206
Université Clermont Auvergne;Licence - Portail Psychologie;ENTIÈREMENT à distance;5;0;0;0;1;0;0;0;0;0;100;0;0;5;2099
Université de Bourgogne - site de Dijon;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Métiers des langues - Espagnol;Métiers des langues - Espagnol;5;0;1;2;1;1;0;0;20;40;20;20;0;5;101
ESCOM Chimie Compiègne;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;5;0;0;1;0;1;1;0;0;33;0;33;33;3;44
Université Angers;Licence - Portail Langues étrangères appliquées - Anglais-Allemand;Anglais-Allemand;5;0;2;1;0;0;0;0;67;33;0;0;0;4;49
ESAA Boulle;DN MADE - Objet - Spécialité : Monture en bronze - Créateur-concepteur métal - objet d?exception;Spécialité : Monture en bronze - Créateur-concepteur métal - objet d?exception;5;0;0;0;2;0;0;0;0;0;100;0;0;5;43
ESIGELEC Rouen;Formation d'ingénieur Bac + 5 - Bac Série STI2D;bac STI2D;5;0;2;2;2;0;0;0;33;33;33;0;0;6;141
Université de La Rochelle;C.M.I - Cursus Master en Ingénierie - Mathématiques - Mathématiques et applications;Mathématiques et applications;5;0;0;0;1;0;0;0;0;0;100;0;0;4;121
Facultés libres de l'Ouest - UCO ANGERS;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Anglais/Allemand - Anglais/Espagnol;Anglais/Allemand - Anglais/Espagnol;5;0;2;1;0;0;0;0;67;33;0;0;0;4;33
Facultés libres de l'Ouest - UCO ANGERS;Licence - Portail Histoire;;5;0;1;0;2;0;0;0;33;0;67;0;0;5;75
Institut Supérieur d'Expertise et d'Audit - Institut Catholique de Lille;Licence - Portail Economie et gestion - parcours Comptabilité, Finance et Audit;parcours Comptabilité, Finance et Audit;5;0;1;0;0;0;0;0;100;0;0;0;0;2;59
ISEN Méditerranée;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;140
ESITC Caen;Formation d'ingénieur Bac + 5 - Bac Série STI2D;bac STI2D;5;0;0;2;4;2;0;0;0;25;50;25;0;8;117
Sciences Po - campus de Menton - Institut d'études politiques;Sciences Po / Instituts d'études politiques - Sciences Humaines et Sociales - Grade Master - Bachelor du Collège universitaire de Sciences Po;Bachelor du Collège universitaire de Sciences Po - Middle Eastern and Mediterranean programme - English track, campus de Menton;5;0;0;0;1;7;3;0;0;0;9;64;27;11;299
Lycée professionnel G. Barré;Mention complémentaire - Technicien en peinture aéronautique;;5;0;1;2;1;0;0;0;25;50;25;0;0;4;24
Centre de Ressources, d'Expertise et de Performance Sportive - CREPS DE VICHY AUVERGNE;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;;5;0;3;1;0;0;0;0;75;25;0;0;0;4;142
Centre de Ressources, d'Expertise et de Performance Sportive - CREPS DE VICHY AUVERGNE;BPJEPS - Spécialité Educateur sportif - Mention Activités aquatiques et de la natation;;5;0;1;1;0;0;0;0;50;50;0;0;0;5;61
Université Jean Moulin Lyon 3;Double licence - Langues étrangères appliquées / Gestion - Double Licence Langues Etrangères Appliquées Anglais-Russe et Gestion  Management et sciences humaines (MSH);Double Licence Langues Etrangères Appliquées Anglais-Russe et Gestion  Management et sciences humaines (MSH);5;0;0;2;0;0;1;0;0;67;0;0;33;5;244
Lycée Jean XXIII;Formation d'ingénieur Bac + 5 - bac STL;bac STL;5;0;0;0;0;0;0;0;0;0;0;0;0;1;12
Facultés libres de l'Ouest - UCO ANGERS;Licence - Portail Lettres;;5;0;0;1;0;0;0;0;0;100;0;0;0;3;51
Université Angers;Licence - Portail MI - Mathématiques, Informatique;MI - Mathématiques, Informatique;5;0;0;1;1;0;0;0;0;50;50;0;0;5;150
Institut Martiniquais du Sport (IMS);BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;;5;0;1;0;0;0;0;0;100;0;0;0;0;1;89
Université Grenoble Alpes;Licence - Portail Sciences pour l'ingénieur;Sciences pour l'ingénieur;5;0;0;0;0;0;0;0;0;0;0;0;0;2;230
Université de Paris;Licence - Portail Langues, littératures & civilisations étrangères et régionales - LLCER Etudes vietnamiennes;LLCER Etudes vietnamiennes;5;0;1;1;0;0;0;0;50;50;0;0;0;4;79
Ecole d'ingénieurs privée ECAM EPMI;Formation d'ingénieur Bac + 5 - Autres Séries;Autres séries;5;0;0;0;0;0;0;0;0;0;0;0;0;2;29
Le Mans Université;Licence - Portail Lettres;;5;0;1;2;0;0;0;0;33;67;0;0;0;4;71
ISEN Yncrea Ouest Caen;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;2;159
ESAIP Angers;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bac Technologiques;5;0;0;1;1;0;0;0;0;50;50;0;0;2;72
Université Lyon 2 - Campus Porte des Alpes;Licence - Lettres;Lettres classiques ? Arts du spectacle;5;0;2;0;0;0;0;0;100;0;0;0;0;4;189
Université Toulouse 2 Jean Jaurès;Licence - Lettres - Parcours Binational Lettres modernes-Allemand: études transculturelles;Binational Lettres modernes-Allemand: études transculturelles;5;0;2;0;0;0;0;0;67;0;0;0;0;3;45
Lycée Edouard Belin;BTS - Production - Conception et Réalisation de Systèmes Automatiques - Parcours Ingénieur Microtechniques et Systèmes Intelligents;Parcours Ingénieur Microtechniques et Systèmes Intelligents;5;0;0;4;2;1;0;0;0;57;29;14;0;7;78
Université Lyon 2 - Campus Porte des Alpes;Licence - Langues, littératures & civilisations étrangères et régionales;LLCER Portugais ? LLCER Espagnol;5;0;2;1;0;0;0;0;67;33;0;0;0;7;38
Université Lyon 2 - Campus Porte des Alpes;Licence - Sciences du langage;LEA Anglais Arabe;5;0;0;0;1;0;0;0;0;0;100;0;0;5;63
ESGT Le Mans;Formation d'ingénieur Bac + 5 - bac STI2D;bac STI2D;5;0;0;1;0;0;0;0;0;100;0;0;0;1;115
Université Lyon 2 - Campus Porte des Alpes;Licence - Sciences du langage;Lettres classiques;5;0;0;1;0;0;0;0;0;100;0;0;0;6;132
CPE Lyon;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;5;0;0;0;0;0;0;0;0;0;0;0;0;2;186
Université Lyon 2 - Campus Porte des Alpes;Licence - Langues étrangères appliquées;LEA Anglais allemand ? Sciences du langage;5;0;2;0;0;0;0;0;100;0;0;0;0;6;112
Université de Strasbourg;Licence - Double diplôme - Licence Droit - Double-diplôme franco-italien en droit Université de Strasbourg /Université de Ferrara;Double-diplôme franco-italien en droit Université de Strasbourg /Université de Ferrara;5;0;0;2;1;1;0;0;0;50;25;25;0;5;95
Université de Bourgogne - site de Dijon;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Métiers des langues - Allemand;Métiers des langues - Allemand;5;0;0;2;0;0;0;0;0;100;0;0;0;4;43
ESIROI La Réunion;Formation d'ingénieur Bac + 5 - bac STI2D;bac STI2D;4;0;0;0;1;2;0;0;0;0;33;67;0;3;76
IUT Aix-Marseille - Site de Marseille Luminy;Formation d'ingénieur Bac + 5 - bac STI2D;bac STI2D;4;0;0;0;0;1;0;0;0;0;0;100;0;1;105
Centre de Ressources, d'Expertise et de Performance Sportive de Strasbourg (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;;4;0;0;0;0;0;0;0;0;0;0;0;0;4;102
ESAIP Aix-en-Provence;Formation d'ingénieur Bac + 5 - Bacs technologiques;Bacs Technologiques;4;0;0;3;1;0;0;0;0;75;25;0;0;4;77
Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Tennis de table;;4;0;2;1;0;0;0;0;67;33;0;0;0;3;23
Université Savoie Mont Blanc - Bourget-du-Lac;Licence - Portail Sciences de la terre;;4;0;1;0;2;0;0;0;33;0;67;0;0;4;167
CREPS Pays de la Loire - Antenne de Sable sur Sarthe;BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous;;4;0;1;3;0;0;0;0;25;75;0;0;0;4;258
ESAA Boulle;DN MADE - Objet - Spécialité : Décor et traitement de surface - Créateur-concepteur - décor et restauration en mobiliers d?exception;Spécialité : Décor et traitement de surface - Créateur-concepteur - décor et restauration en mobiliers d?exception;4;0;0;1;3;0;0;0;0;25;75;0;0;4;228
Université de Bourgogne - site de Nevers;Licence - Parcours d'Accès Spécifique Santé (PASS);Sciences de la vie et de la terre;4;0;0;0;0;3;1;0;0;0;0;75;25;4;2513
Université de Paris;Certificat de capacité d'Orthoptiste -  A distance depuis le site de Nice - Entièrement en distanciel;A distance depuis le site de Nice;4;0;1;0;0;0;0;0;100;0;0;0;0;4;39
Lycée Paul Langevin;BTS - Production - Maintenance des systèmes - option A Systèmes de production - Parcours Marine Nationale / Maistrance - Défense;Parcours Marine Nationale / Maistrance - Défense;4;0;0;0;2;1;0;0;0;0;67;33;0;4;114
Lycée Vauban;BTS - Production - Conception et Réalisation de Systèmes Automatiques - parcours Marine Nationale/Maistrance-Défense;parcours Marine Nationale/Maistrance-Défense;4;0;0;1;1;0;0;0;0;50;50;0;0;4;58
Centre de Ressources, d'Expertise et de Performance Sportive de Reims (CREPS);BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;;4;0;0;3;1;0;0;0;0;75;25;0;0;4;163
Institut national universitaire Champollion;Licence - Portail Parcours Sciences Politiques;Parcours Sciences Politiques : Sociologie;4;0;0;1;1;2;0;0;0;25;25;50;0;4;224
ISEN Yncrea Ouest Caen;Formation d'ingénieur Bac + 5 - Bac +1/+2;Bac +1/+2;4;0;0;0;0;0;0;0;0;0;0;0;0;5;203
